freq,unit,geo,2019
A,EUR_HAB,EL433,14100
A,EUR_HAB,EL434,14800
A,EUR_HAB,EL5,13000
A,EUR_HAB,EL51,11600
A,EUR_HAB,EL511,12300
A,EUR_HAB,EL512,9700
A,EUR_HAB,EL513,10400
A,EUR_HAB,EL514,10700
A,EUR_HAB,EL515,13900
A,EUR_HAB,EL52,13400
A,EUR_HAB,EL521,11400
A,EUR_HAB,EL522,14500
A,EUR_HAB,EL523,11500
A,EUR_HAB,EL524,12400
A,EUR_HAB,EL525,11200
A,EUR_HAB,EL526,10400
A,EUR_HAB,EL527,13900
A,EUR_HAB,EL53,14700
A,EUR_HAB,EL531,15200
A,EUR_HAB,EL532,10400
A,EUR_HAB,EL533,16900
A,EUR_HAB,EL54,11900
A,EUR_HAB,EL541,11600
A,EUR_HAB,EL542,12400
A,EUR_HAB,EL543,11900
A,EUR_HAB,EL6,13800
A,EUR_HAB,EL61,13000
A,EUR_HAB,EL611,11200
A,EUR_HAB,EL612,14500
A,EUR_HAB,EL613,13100
A,EUR_HAB,EL62,15900
A,EUR_HAB,EL621,19300
A,EUR_HAB,EL622,15500
A,EUR_HAB,EL623,15200
A,EUR_HAB,EL624,13000
A,EUR_HAB,EL63,12300
A,EUR_HAB,EL631,11600
A,EUR_HAB,EL632,13300
A,EUR_HAB,EL633,11300
A,EUR_HAB,EL64,15400
A,EUR_HAB,EL641,23300
A,EUR_HAB,EL642,13800
A,EUR_HAB,EL643,10300
A,EUR_HAB,EL644,13200
A,EUR_HAB,EL645,11300
A,EUR_HAB,EL65,14300
A,EUR_HAB,EL651,16800
A,EUR_HAB,EL652,14200
A,EUR_HAB,EL653,12700
A,EUR_HAB,ES,26400
A,EUR_HAB,ES1,23700
A,EUR_HAB,ES11,23800
A,EUR_HAB,ES111,24700
A,EUR_HAB,ES112,23600
A,EUR_HAB,ES113,23100
A,EUR_HAB,ES114,23000
A,EUR_HAB,ES12,23200
A,EUR_HAB,ES120,23200
A,EUR_HAB,ES13,24400
A,EUR_HAB,ES130,24400
A,EUR_HAB,ES2,31700
A,EUR_HAB,ES21,33900
A,EUR_HAB,ES211,39000
A,EUR_HAB,ES212,34300
A,EUR_HAB,ES213,32300
A,EUR_HAB,ES22,32000
A,EUR_HAB,ES220,32000
A,EUR_HAB,ES23,28100
A,EUR_HAB,ES230,28100
A,EUR_HAB,ES24,28700
A,EUR_HAB,ES241,29600
A,EUR_HAB,ES242,25500
A,EUR_HAB,ES243,29000
A,EUR_HAB,ES3,36200
